pid,verified_recommendation,verification_note,analysis_recommendation,manual_exclusion_reason,total_flags,AIReflection,BeliefsAboutAI,IMI,WritingEfficacy,raw_AIReflection,raw_BeliefsAboutAI,raw_IMI,raw_WritingEfficacy,pre_dedup_issues,post_dedup_issues,condition_1,condition_2
y5lblN,Drop,"RW IMI is clean, but RW WritingEfficacy and both LLM instruments are straight-line; no clean full-source submission to rescue.",Drop from scored analyses,NA,3,12/12 [Straight-line],22/22 [Straight-line],18/18 [Clean],20/20 [Straight-line],incomplete: 12/12 valid; distinct=1 [Straight-line],incomplete: 22/22 valid; distinct=1 [Straight-line],incomplete: 0/18 valid; distinct=0 | unique: 18/18 valid; distinct=6,incomplete: 0/20 valid; distinct=0 | unique: 20/20 valid; distinct=1 [Straight-line],Empty duplicate shell; Straight-line,BeliefsAboutAI: Straight-line; AIReflection: Straight-line; WritingEfficacy: Straight-line,Alone,LLM
39XPqH,Salvage RW-only with manual override to first-dup submission,RW first-dup IMI is complete and non-straight; second-dup IMI is straight-line. Keeping the first duplicate salvages the RW survey.,Drop from scored analyses,NA,1,NA,NA,18/18 [Straight-line],20/20 [Clean],NA,NA,first-dup: 18/18 valid; distinct=6 | second-dup: 18/18 valid; distinct=1 [Straight-line],first-dup: 20/20 valid; distinct=3 | second-dup: 20/20 valid; distinct=3,Answered duplicate,IMI: Straight-line,LLM,Alone
W1RZzp,Salvage RW-only with manual override to first-dup submission,RW first-dup WritingEfficacy is complete and non-straight; second-dup WritingEfficacy is straight-line. Keeping the first duplicate salvages the RW survey.,Drop from scored analyses,NA,1,NA,NA,18/18 [Clean],20/20 [Straight-line],NA,NA,first-dup: 18/18 valid; distinct=6 | second-dup: 18/18 valid; distinct=3,first-dup: 20/20 valid; distinct=3 | second-dup: 20/20 valid; distinct=1 [Straight-line],Answered duplicate,WritingEfficacy: Straight-line,LLM,Alone
hKpFTX,Salvage RW-only; optional Beliefs-only if instrument-level salvage is allowed,"RW survey is clean. LLM Beliefs is clean, but AIReflection is straight-line, so participant is not clean for full LLM-source analyses.",Salvage for RW-only analysis,NA,1,12/12 [Straight-line],22/22 [Clean],18/18 [Clean],20/20 [Clean],unique: 12/12 valid; distinct=1 [Straight-line],unique: 22/22 valid; distinct=4,unique: 18/18 valid; distinct=6,unique: 20/20 valid; distinct=5,Straight-line,AIReflection: Straight-line,Alone,LLM
N/A (RA practice),Drop,Practice PID manually excluded.,Drop from scored analyses,Practice / RA test PID,0,NA,NA,18/18 [Clean],20/20 [Clean],NA,NA,unique: 18/18 valid; distinct=5,unique: 20/20 valid; distinct=2,NA,NA,NA,NA
Sania Jain test,Drop,Test PID manually excluded.,Drop from scored analyses,Practice / test PID,0,NA,NA,18/18 [Clean],20/20 [Clean],NA,NA,unique: 18/18 valid; distinct=5,unique: 20/20 valid; distinct=3,NA,NA,NA,NA
0583fE,Salvage LLM-only,Only LLM source is present and it is clean in the raw long CSV.,Salvage for LLM-only analysis,NA,0,12/12 [Clean],22/22 [Clean],NA,NA,unique: 12/12 valid; distinct=3,unique: 22/22 valid; distinct=5,NA,NA,NA,NA,LLM,Alone
3DA6hq,Salvage LLM-only,Only LLM source is present and it is clean in the raw long CSV.,Salvage for LLM-only analysis,NA,0,12/12 [Clean],22/22 [Clean],NA,NA,unique: 12/12 valid; distinct=5,unique: 22/22 valid; distinct=5,NA,NA,NA,NA,LLM,Alone
5YN6i0,Salvage LLM-only,Only LLM source is present and it is clean in the raw long CSV.,Salvage for LLM-only analysis,NA,0,12/12 [Clean],22/22 [Clean],NA,NA,unique: 12/12 valid; distinct=4,unique: 22/22 valid; distinct=3,NA,NA,NA,NA,LLM,Alone
PFmBzT,Salvage LLM-only,Only LLM source is present and it is clean in the raw long CSV.,Salvage for LLM-only analysis,NA,0,12/12 [Clean],22/22 [Clean],NA,NA,unique: 12/12 valid; distinct=4,unique: 22/22 valid; distinct=5,NA,NA,NA,NA,LLM,Alone
T3ku24,Salvage LLM-only,Only LLM source is present and it is clean in the raw long CSV.,Salvage for LLM-only analysis,NA,0,12/12 [Clean],22/22 [Clean],NA,NA,unique: 12/12 valid; distinct=3,unique: 22/22 valid; distinct=4,NA,NA,NA,NA,LLM,Alone
h76eW9,Salvage LLM-only,Only LLM source is present and it is clean in the raw long CSV.,Salvage for LLM-only analysis,NA,0,12/12 [Clean],22/22 [Clean],NA,NA,unique: 12/12 valid; distinct=5,unique: 22/22 valid; distinct=5,NA,NA,NA,NA,Alone,LLM
lQ647f,Salvage LLM-only,Only LLM source is present and it is clean in the raw long CSV.,Salvage for LLM-only analysis,NA,0,12/12 [Clean],22/22 [Clean],NA,NA,incomplete: 0/12 valid; distinct=0 | unique: 12/12 valid; distinct=4,incomplete: 0/22 valid; distinct=0 | unique: 22/22 valid; distinct=3,NA,NA,Empty duplicate shell,NA,LLM,Alone
mi7of1,Salvage LLM-only,Only LLM source is present and it is clean in the raw long CSV.,Salvage for LLM-only analysis,NA,0,12/12 [Clean],22/22 [Clean],NA,NA,unique: 12/12 valid; distinct=3,unique: 22/22 valid; distinct=4,NA,NA,NA,NA,LLM,Alone
